danceability,energy,speechiness,instrumentalness,liveness,valence,tempo,duration_min,release_year,key,mode,time_signature,playlist_genre,track_popularity,label_kaggle
0.882,0.645,0.0601,4.13e-05,0.057,0.788,114.933,1.7403166666666667,2024.0,1.0,1.0,4.0,pop,87,1
0.466,0.872,0.0336,0.0,0.121,0.806,184.115,3.1738,2024.0,7.0,1.0,4.0,pop,89,1
0.66,0.756,0.032,0.0,0.193,0.838,116.034,2.848133333333333,2024.0,0.0,0.0,4.0,pop,92,1
0.579,0.508,0.027,0.000494,0.0575,0.609,147.125,6.5229333333333335,1976.0,2.0,1.0,4.0,rock,81,1
0.502,0.89,0.0364,0.0117,0.217,0.259,133.52,4.881333333333333,1990.0,4.0,1.0,4.0,rock,83,1
0.743,0.446,0.0683,0.118,0.337,0.278,123.596,3.86845,2003.0,4.0,0.0,4.0,rock,82,1
0.515,0.43,0.0372,0.000133,0.129,0.104,91.844,3.977333333333333,1993.0,7.0,1.0,4.0,rock,86,1
0.5,0.824,0.0388,0.00161,0.0916,0.539,120.125,3.6486666666666667,1991.0,4.0,0.0,4.0,rock,76,1
0.592,0.767,0.027,0.00165,0.127,0.328,96.483,5.49555,1999.0,9.0,0.0,4.0,rock,81,1
0.445,0.952,0.0522,0.0843,0.112,0.624,125.304,5.93445,1987.0,6.0,1.0,4.0,rock,84,1
0.464,0.795,0.0926,0.00244,0.399,0.612,158.691,3.3711166666666665,1966.0,1.0,1.0,4.0,rock,81,1
0.828,0.492,0.0276,0.00428,0.128,0.789,120.151,4.296666666666667,1977.0,0.0,1.0,4.0,rock,84,1
0.413,0.881,0.0367,0.000308,0.0805,0.364,158.066,4.175783333333333,1997.0,11.0,0.0,4.0,rock,81,1
0.535,0.716,0.0431,0.0,0.659,0.901,94.379,2.91955,1981.0,4.0,1.0,4.0,rock,77,1
0.475,0.322,0.0283,0.00056,0.11,0.387,93.503,3.4377833333333334,2022.0,7.0,1.0,4.0,rock,79,1
0.693,0.394,0.0428,0.000694,0.247,0.721,104.114,3.9791166666666666,1979.0,0.0,1.0,4.0,rock,74,1
0.475,0.899,0.0637,1.91e-05,0.14,0.603,152.445,3.84445,1984.0,9.0,0.0,4.0,rock,72,1
0.442,0.943,0.0602,8.71e-06,0.091,0.781,85.064,3.02555,1994.0,3.0,1.0,4.0,rock,80,1
0.559,0.345,0.0459,0.000105,0.141,0.458,84.581,4.405116666666666,1991.0,4.0,1.0,4.0,rock,82,1
0.673,0.814,0.0367,0.00293,0.343,0.728,147.193,4.203333333333333,1982.0,9.0,1.0,4.0,rock,70,1
0.532,0.767,0.0574,0.000513,0.39,0.755,127.361,3.502883333333333,1980.0,7.0,1.0,4.0,rock,81,1
0.723,0.863,0.0338,0.0317,0.128,0.931,136.302,3.71355,1965.0,2.0,1.0,4.0,rock,76,1
0.486,0.449,0.0267,2.23e-06,0.54,0.549,100.456,4.238216666666666,1972.0,5.0,1.0,4.0,rock,76,1
0.412,0.902,0.405,0.131,0.405,0.422,89.74,5.564883333333333,1969.0,9.0,1.0,4.0,rock,72,1
0.55,0.722,0.0283,0.0129,0.11,0.716,103.886,7.245333333333333,1971.0,11.0,0.0,4.0,rock,70,1
0.394,0.944,0.0761,4.54e-06,0.298,0.265,105.338,4.87635,1991.0,10.0,0.0,4.0,rock,77,1
0.398,0.952,0.061,7.75e-05,0.1,0.584,122.093,4.644666666666667,1984.0,4.0,1.0,4.0,rock,72,1
0.356,0.917,0.0479,0.0,0.406,0.518,171.176,5.95445,1997.0,9.0,1.0,4.0,rock,79,1
0.455,0.589,0.0328,0.00358,0.104,0.254,124.634,4.728883333333333,1991.0,11.0,1.0,4.0,rock,75,1
0.438,0.805,0.0624,5.69e-05,0.0842,0.564,113.253,4.013333333333334,1968.0,8.0,1.0,4.0,rock,72,1
0.446,0.239,0.0316,4.1e-06,0.0697,0.298,189.507,5.60755,1981.0,0.0,1.0,4.0,rock,76,1
0.721,0.521,0.0613,0.00545,0.127,0.942,123.118,4.356883333333333,1977.0,2.0,1.0,4.0,rock,76,1
0.619,0.67,0.0353,0.0109,0.331,0.777,129.269,3.532216666666667,1993.0,11.0,0.0,4.0,rock,71,1
0.539,0.828,0.035,0.421,0.154,0.562,105.25,8.589783333333333,1986.0,4.0,0.0,4.0,rock,70,1
0.73,0.487,0.0303,0.01,0.0852,0.731,114.965,3.77755,1987.0,4.0,1.0,4.0,rock,79,1
0.741,0.697,0.0277,2.28e-05,0.133,0.774,116.109,2.6688833333333335,1970.0,0.0,1.0,4.0,rock,84,1
0.62,0.579,0.0473,6.4e-05,0.0858,0.691,127.215,3.76045,1978.0,4.0,1.0,4.0,rock,69,1
0.502,0.912,0.0564,0.000173,0.106,0.72,116.761,5.032,1991.0,1.0,1.0,4.0,rock,76,1
0.466,0.833,0.304,0.0,0.0327,0.661,88.785,5.226216666666667,2022.0,7.0,1.0,4.0,rock,78,1
0.53,0.376,0.04,0.247,0.0926,0.188,164.775,4.33245,1969.0,9.0,0.0,4.0,rock,75,1
0.482,0.786,0.032,8.88e-05,0.446,0.793,126.755,5.383333333333334,2022.0,7.0,1.0,4.0,rock,73,1
0.674,0.789,0.0676,0.00708,0.0753,0.918,129.802,2.0193333333333334,1997.0,8.0,1.0,4.0,rock,78,1
0.519,0.441,0.0353,0.000453,0.076,0.25,81.334,3.9162166666666667,1988.0,4.0,1.0,4.0,rock,76,1
0.743,0.836,0.116,0.0,0.384,0.82,113.375,3.149783333333333,2022.0,2.0,1.0,4.0,rock,80,1
0.932,0.528,0.161,0.329,0.163,0.757,109.975,3.57755,1980.0,5.0,0.0,4.0,rock,71,1
0.602,0.905,0.0775,0.064,0.117,0.411,128.019,5.080666666666667,2009.0,2.0,1.0,4.0,rock,75,1
0.653,0.519,0.0497,0.0209,0.101,0.822,98.883,2.56155,1966.0,2.0,1.0,4.0,rock,76,1
0.454,0.946,0.13,0.0,0.173,0.647,138.18,2.60245,1978.0,1.0,0.0,4.0,rock,68,1
0.35,0.828,0.041,0.000161,0.0774,0.147,105.435,5.309783333333334,1994.0,6.0,1.0,4.0,rock,76,1
0.489,0.349,0.0323,0.0789,0.0866,0.622,124.348,3.27445,1994.0,2.0,0.0,4.0,rock,70,1
0.587,0.872,0.0484,0.0,0.622,0.735,159.925,3.6888833333333335,1998.0,7.0,1.0,4.0,rock,73,1
0.577,0.808,0.039,1.33e-05,0.221,0.869,151.008,4.838,1979.0,1.0,0.0,4.0,rock,75,1
0.489,0.758,0.0297,0.49,0.092,0.435,112.113,6.190216666666666,2022.0,7.0,1.0,4.0,rock,72,1
0.564,0.932,0.0554,0.169,0.349,0.619,112.937,2.4375,2022.0,11.0,1.0,4.0,rock,75,1
0.388,0.338,0.0329,3.73e-06,0.248,0.478,177.765,5.056216666666667,2022.0,10.0,1.0,4.0,rock,76,1
0.31,0.7,0.047,0.00965,0.0828,0.763,188.386,4.258216666666667,1980.0,9.0,1.0,4.0,rock,83,1
0.548,0.691,0.0369,0.106,0.144,0.667,137.145,4.36555,1977.0,4.0,0.0,4.0,rock,74,1
0.601,0.532,0.0286,5.95e-06,0.0925,0.342,136.576,4.69355,1972.0,10.0,1.0,4.0,rock,79,1
0.256,0.641,0.0552,0.0329,0.0853,0.382,203.006,4.686,1993.0,1.0,1.0,4.0,rock,79,1
0.667,0.755,0.069,6.94e-05,0.0523,0.883,109.535,4.770333333333333,1976.0,9.0,1.0,4.0,rock,68,1
0.671,0.373,0.0323,8.01e-05,0.0481,0.732,92.718,4.93155,1982.0,9.0,1.0,4.0,rock,83,1
0.333,0.927,0.0733,0.000208,0.297,0.385,141.466,5.1353333333333335,2022.0,9.0,0.0,4.0,rock,75,1
0.767,0.787,0.0331,0.583,0.0513,0.964,126.879,4.4366666666666665,2022.0,3.0,1.0,4.0,rock,77,1
0.472,0.366,0.0286,0.312,0.0837,0.171,127.163,6.371616666666666,1979.0,11.0,0.0,4.0,rock,71,1
0.437,0.864,0.0904,0.0314,0.242,0.749,81.394,4.923116666666667,1971.0,4.0,0.0,4.0,rock,69,1
0.509,0.584,0.057,9.96e-05,0.384,0.685,170.411,4.645783333333333,2002.0,0.0,1.0,4.0,rock,69,1
